complexity,loss,equation,score,sympy_format,lambda_format
1,235.96255403711493,x1,0.0,x1,PySRFunction(X=>x1)
2,234.89941395497357,inv(x2),0.004515726310555932,1/x2,PySRFunction(X=>1/x2)
3,188.1746877939149,x1 * 7.153412154657281,0.2217866749985315,x1*7.153412154657281,PySRFunction(X=>x1*7.153412154657281)
5,110.382899775439,cos(inv(x2)) * 15.463376496182082,0.2667077466427927,cos(1/x2)*15.463376496182082,PySRFunction(X=>cos(1/x2)*15.463376496182082)
6,101.77207245534596,(inv(x2) + 1.7401021732009971) * 11.820949371921055,0.08121949940213848,(1.7401021732009971 + 1/x2)*11.820949371921055,PySRFunction(X=>(1.7401021732009971 + 1/x2)*11.820949371921055)
8,95.54045225001268,((inv(x2) + 1.6607004920393167) * 11.872203573016222) + x0,0.031592993767529096,x0 + (1.6607004920393167 + 1/x2)*11.872203573016222,PySRFunction(X=>x0 + (1.6607004920393167 + 1/x2)*11.872203573016222)
10,89.33235482119753,((inv(x2) + 1.503936261445802) * 11.97471197127278) + (x0 * 3.007872522891604),0.033593001640735906,x0*3.007872522891604 + (1.503936261445802 + 1/x2)*11.97471197127278,PySRFunction(X=>x0*3.007872522891604 + (1.503936261445802 + 1/x2)*11.97471197127278)
11,87.96196156695697,((inv(x2) + 1.5756246714717386) * 12.706891913314829) + exp(x0 + x2),0.015459272180525084,(1.5756246714717386 + 1/x2)*12.706891913314829 + exp(x0 + x2),PySRFunction(X=>(1.5756246714717386 + 1/x2)*12.706891913314829 + exp(x0 + x2))
13,86.09330665047797,(((inv(x2) + 1.5023975139801957) * 12.758146103674306) + x0) + exp(x2 + x0),0.01073639847373426,x0 + (1.5023975139801957 + 1/x2)*12.758146103674306 + exp(x0 + x2),PySRFunction(X=>x0 + (1.5023975139801957 + 1/x2)*12.758146103674306 + exp(x0 + x2))
15,85.20743248257125,((((inv(x2) + 1.4677197510581315) * 12.153555280040422) + x1) + x0) + exp(x0 + x2),0.005171501709659564,x0 + x1 + (1.4677197510581315 + 1/x2)*12.153555280040422 + exp(x0 + x2),PySRFunction(X=>x0 + x1 + (1.4677197510581315 + 1/x2)*12.153555280040422 + exp(x0 + x2))
