complexity,loss,equation,score,sympy_format,lambda_format
1,1.7322063927513014,2.7288555563641226,0.0,2.7288555563641226,PySRFunction(X=>2.7288555563641226)
3,0.143690666160974,2.0225069919680645 - x2,1.2447442045500983,2.0225069919680645 - x2,PySRFunction(X=>2.0225069919680645 - x2)
5,0.0694195310709498,1.822407748224401 - (x2 * 1.2745925208326607),0.36374729093698766,1.822407748224401 - 1.2745925208326607*x2,PySRFunction(X=>1.822407748224401 - 1.2745925208326607*x2)
6,0.0659115230011956,sqrt(3.3173256140805663 - x1) - x2,0.05185497337147278,-x2 + sqrt(3.3173256140805663 - x1),PySRFunction(X=>-x2 + sqrt(3.3173256140805663 - x1))
7,0.0656168448488126,(1.8077801599376053 - (x1 * 0.2648260212007067)) - x2,0.004480837864000304,-0.2648260212007067*x1 - x2 + 1.8077801599376053,PySRFunction(X=>-0.2648260212007067*x1 - x2 + 1.8077801599376053)
8,0.061697663398156,(2.5507670587989435 - cos(x1 * 0.6552403623651555)) - x1,0.06158638439528633,-x1 - cos(x1*0.6552403623651555) + 2.5507670587989435,PySRFunction(X=>-x1 - cos(x1*0.6552403623651555) + 2.5507670587989435)
9,0.0577532110778694,1.457531960740629 - (x1 - log(2.058869404823866 - cos(x2))),0.06606710888789993,-x1 + log(2.058869404823866 - cos(x2)) + 1.457531960740629,PySRFunction(X=>-x1 + log(2.058869404823866 - cos(x2)) + 1.457531960740629)
10,0.0574957230862501,1.5533739323041371 - ((x1 + (cos(x3) * 0.22686202657589766)) * 1.2431508077061064),0.00446838700789946,1.5533739323041371 - 1.2431508077061064*(x1 + cos(x3)*0.22686202657589766),PySRFunction(X=>1.5533739323041371 - 1.2431508077061064*(x1 + cos(x3)*0.22686202657589766))
11,0.0571628067998888,(1.4580684335823983 - cos(cos(x2 * 0.8312805060392193) + 3.623891485230324)) - x1,0.005807107805333469,-x1 - cos(cos(x2*0.8312805060392193) + 3.623891485230324) + 1.4580684335823983,PySRFunction(X=>-x1 - cos(cos(x2*0.8312805060392193) + 3.623891485230324) + 1.4580684335823983)
13,0.0561640215916468,sqrt(x3) + ((sqrt(x3) * (x2 - x1)) - (x1 * 1.2255126491760817)),0.008813544715639991,-1.2255126491760817*x1 + sqrt(x3)*(-x1 + x2) + sqrt(x3),PySRFunction(X=>-1.2255126491760817*x1 + sqrt(x3)*(-x1 + x2) + sqrt(x3))
