complexity,loss,equation,score,sympy_format,lambda_format
1,0.189733973066792,1.2481891844888902,0.0,1.2481891844888902,PySRFunction(X=>1.2481891844888902)
4,0.1371757643441716,exp(x3 * -0.42560612403982084),0.1081199647753003,exp(x3*(-0.42560612403982084)),PySRFunction(X=>exp(x3*(-0.42560612403982084)))
5,0.1283713782653094,exp(exp(-1.82639279408842 - x3)),0.06633559926522371,exp(exp(-x3 - 1.82639279408842)),PySRFunction(X=>exp(exp(-x3 - 1.82639279408842)))
6,0.1179130556850055,inv((x3 * 0.3548097921543003) - -0.9826335166735164),0.08497991904685555,1/(x3*0.3548097921543003 - 1*(-0.9826335166735164)),PySRFunction(X=>1/(x3*0.3548097921543003 - 1*(-0.9826335166735164)))
7,0.0846612746135947,sqrt(sqrt(exp(cos(x0) - x3))),0.33128924599820353,exp(-x3 + cos(x0))**(1/4),PySRFunction(X=>exp(-x3 + cos(x0))**(1/4))
9,0.0836746077149877,sqrt(sqrt(exp(cos(x0 * 0.8319747344775361) - x3))),0.005861365884168648,exp(-x3 + cos(0.8319747344775361*x0))**(1/4),PySRFunction(X=>exp(-x3 + cos(0.8319747344775361*x0))**(1/4))
10,0.0835169794539858,exp(x3 * inv(-1.1224660594575686 - exp(x3 + x0))),0.0018856009488852524,exp(x3/(-exp(x0 + x3) - 1.1224660594575686)),PySRFunction(X=>exp(x3/(-exp(x0 + x3) - 1.1224660594575686)))
12,0.0800181890881912,exp(x3 * inv(-1.1224660594575686 - exp(x3 + (x0 * x0)))),0.02139799275294851,exp(x3/(-exp(x0*x0 + x3) - 1.1224660594575686)),PySRFunction(X=>exp(x3/(-exp(x0*x0 + x3) - 1.1224660594575686)))
14,0.0790184788640508,-0.07681838566666266 + exp(x3 * inv(-1.1224660594575686 - exp(x3 + (x0 * x0)))),0.006286118823568056,exp(x3/(-exp(x0*x0 + x3) - 1.1224660594575686)) - 0.07681838566666266,PySRFunction(X=>exp(x3/(-exp(x0*x0 + x3) - 1.1224660594575686)) - 0.07681838566666266)
15,0.0718794391763706,exp(x3 * inv((x3 - exp(x0 + x3)) - exp(x2 + x3))),0.09469147512180419,exp(x3/(x3 - exp(x0 + x3) - exp(x2 + x3))),PySRFunction(X=>exp(x3/(x3 - exp(x0 + x3) - exp(x2 + x3))))
