Complexity,Loss,Equation
1,0.18973399541778746,"1.2480198491073489"
4,0.13724632788595198,"exp(x3 * -0.43217226727255587)"
5,0.13406660233697426,"(x3 * -0.1889749976250323) + 1.2225853497715904"
6,0.12311393198802105,"exp(x3 * -0.30615095592222) + 0.15272408650918892"
7,0.08466127461359474,"sqrt(sqrt(exp(cos(x0) - x3)))"
8,0.08466127461359473,"inv(sqrt(sqrt(exp(x3 - cos(x0)))))"
9,0.08262708907715617,"sqrt(sqrt(exp(cos(x0) - x3) - -0.08153453003722395))"
10,0.08240492327154325,"sqrt(sqrt(exp(cos(cos(x2) - x0) - x3)))"
11,0.08024051712977212,"sqrt(sqrt(exp((0.7494266052774792 - x3) - (x0 - cos(x2)))))"
12,0.0749716954915375,"sqrt(sqrt(exp(cos(x0) - ((x3 - -0.8766721755826679) - cos(x2)))))"
13,0.07150647492802345,"sqrt(sqrt(exp((cos(x0) - x3) - cos(cos(x2) - x3))))"
14,0.06462155044218733,"sqrt(sqrt(exp(cos(x0) - ((x3 - -0.8766721755826679) - cos(0.48435277274494454 + x2)))))"
15,0.06382822076217018,"sqrt(sqrt(exp((cos(x0) - x3) - cos(cos(x2 - -0.5582223267429353) - x3))))"
